"시점","항목","업태별",데이터
"2020. 07","불변지수","체인 슈퍼마켓",110.2
"2020. 07","불변지수","일반 슈퍼마켓 및 잡화점",88.4
"2020. 07","불변지수","편의점",165.6
"2020. 07","불변지수","승용차 및 연료 소매점",120.1
"2020. 07","불변지수","승용차 소매점",134.1
"2020. 07","불변지수","연료 소매점",107.3
"2020. 07","불변지수","전문소매점",80.9
"2020. 07","불변지수","가전·컴퓨터·통신기기 소매점",91.1
"2020. 07","불변지수","의복·신발·가방 소매점",66.8
"2020. 07","불변지수","음식·가정· 문화상품 소매점",76.8
"2020. 07","불변지수","의약품·화장품·기타상품 소매점",94.4
"2020. 07","불변지수","무점포 소매",197.8
"2020. 07","불변지수","인터넷 쇼핑",265.0
"2020. 07","불변지수","홈쇼핑",130.6
"2020. 07","불변지수","방문 및 배달 소매점",75.2
"2020. 08","불변지수","총지수",111.8
"2020. 08","불변지수","백화점",82.9
"2020. 08","불변지수","대형마트",100.8
"2020. 08","불변지수","면세점",190.8
"2020. 08","불변지수","슈퍼마켓 및 잡화점",98.7
"2020. 08","불변지수","체인 슈퍼마켓",117.2
"2020. 08","불변지수","일반 슈퍼마켓 및 잡화점",89.0
"2020. 08","불변지수","편의점",165.0
"2020. 08","불변지수","승용차 및 연료 소매점",114.8
"2020. 08","불변지수","승용차 소매점",121.5
"2020. 08","불변지수","연료 소매점",108.6
"2020. 08","불변지수","전문소매점",78.9
"2020. 08","불변지수","가전·컴퓨터·통신기기 소매점",107.0
"2020. 08","불변지수","의복·신발·가방 소매점",55.7
"2020. 08","불변지수","음식·가정· 문화상품 소매점",74.6
"2020. 08","불변지수","의약품·화장품·기타상품 소매점",90.4
"2020. 08","불변지수","무점포 소매",207.8
"2020. 08","불변지수","인터넷 쇼핑",287.2
"2020. 08","불변지수","홈쇼핑",126.2
"2020. 08","불변지수","방문 및 배달 소매점",66.3
"2020. 09","불변지수","총지수",117.8
"2020. 09","불변지수","백화점",94.4
"2020. 09","불변지수","대형마트",112.5
"2020. 09","불변지수","면세점",194.5
"2020. 09","불변지수","슈퍼마켓 및 잡화점",106.2
"2020. 09","불변지수","체인 슈퍼마켓",131.3
"2020. 09","불변지수","일반 슈퍼마켓 및 잡화점",93.1
"2020. 09","불변지수","편의점",156.5
"2020. 09","불변지수","승용차 및 연료 소매점",119.4
"2020. 09","불변지수","승용차 소매점",138.0
"2020. 09","불변지수","연료 소매점",102.4
"2020. 09","불변지수","전문소매점",84.1
"2020. 09","불변지수","가전·컴퓨터·통신기기 소매점",89.7
"2020. 09","불변지수","의복·신발·가방 소매점",67.7
"2020. 09","불변지수","음식·가정· 문화상품 소매점",92.0
"2020. 09","불변지수","의약품·화장품·기타상품 소매점",90.2
"2020. 09","불변지수","무점포 소매",215.4
"2020. 09","불변지수","인터넷 쇼핑",292.0
"2020. 09","불변지수","홈쇼핑",138.0
"2020. 09","불변지수","방문 및 배달 소매점",76.7
"2020. 10","불변지수","총지수",115.6
"2020. 10","불변지수","백화점",106.2
"2020. 10","불변지수","대형마트",88.6
"2020. 10","불변지수","면세점",183.0
"2020. 10","불변지수","슈퍼마켓 및 잡화점",84.5
"2020. 10","불변지수","체인 슈퍼마켓",92.3
"2020. 10","불변지수","일반 슈퍼마켓 및 잡화점",80.4
"2020. 10","불변지수","편의점",157.9
"2020. 10","불변지수","승용차 및 연료 소매점",122.0
"2020. 10","불변지수","승용차 소매점",137.3
"2020. 10","불변지수","연료 소매점",107.9
"2020. 10","불변지수","전문소매점",87.2
"2020. 10","불변지수","가전·컴퓨터·통신기기 소매점",86.7
"2020. 10","불변지수","의복·신발·가방 소매점",94.6
"2020. 10","불변지수","음식·가정· 문화상품 소매점",77.2
"2020. 10","불변지수","의약품·화장품·기타상품 소매점",90.2
"2020. 10","불변지수","무점포 소매",213.1
"2020. 10","불변지수","인터넷 쇼핑",287.8
"2020. 10","불변지수","홈쇼핑",144.3
"2020. 10","불변지수","방문 및 배달 소매점",69.2
"2020. 11","불변지수","총지수",118.8
"2020. 11","불변지수","백화점",108.7
"2020. 11","불변지수","대형마트",88.6
"2020. 11","불변지수","면세점",186.5
"2020. 11","불변지수","슈퍼마켓 및 잡화점",89.6
"2020. 11","불변지수","체인 슈퍼마켓",101.7
"2020. 11","불변지수","일반 슈퍼마켓 및 잡화점",83.3
"2020. 11","불변지수","편의점",150.2
"2020. 11","불변지수","승용차 및 연료 소매점",128.7
"2020. 11","불변지수","승용차 소매점",150.9
"2020. 11","불변지수","연료 소매점",108.4
"2020. 11","불변지수","전문소매점",86.9
"2020. 11","불변지수","가전·컴퓨터·통신기기 소매점",92.0
"2020. 11","불변지수","의복·신발·가방 소매점",90.3
"2020. 11","불변지수","음식·가정· 문화상품 소매점",75.9
"2020. 11","불변지수","의약품·화장품·기타상품 소매점",91.8
"2020. 11","불변지수","무점포 소매",224.2
"2020. 11","불변지수","인터넷 쇼핑",308.0
"2020. 11","불변지수","홈쇼핑",142.3
"2020. 11","불변지수","방문 및 배달 소매점",69.1
"2020. 12","불변지수","총지수",119.0
"2020. 12","불변지수","백화점",95.6
"2020. 12","불변지수","대형마트",101.3
"2020. 12","불변지수","면세점",154.6
"2020. 12","불변지수","슈퍼마켓 및 잡화점",95.9
"2020. 12","불변지수","체인 슈퍼마켓",113.7
"2020. 12","불변지수","일반 슈퍼마켓 및 잡화점",86.6
"2020. 12","불변지수","편의점",147.4
"2020. 12","불변지수","승용차 및 연료 소매점",129.2
"2020. 12","불변지수","승용차 소매점",151.0
"2020. 12","불변지수","연료 소매점",109.3
"2020. 12","불변지수","전문소매점",83.1
"2020. 12","불변지수","가전·컴퓨터·통신기기 소매점",89.0
"2020. 12","불변지수","의복·신발·가방 소매점",67.9
"2020. 12","불변지수","음식·가정· 문화상품 소매점",86.0
